ID,Tip,SKU,"GTIN, UPC, EAN sau ISBN",Nume,Publicat,"Descriere scurtă",Stoc,"Greutate (кг)","Lungime (см)","Lățime (см)","Înălțime (см)","Preț promoțional","Preț obișnuit",Categorii,Imagini,Branduri
16150,simple,943,,"Dell Latitude 7410 | i7 10310U | 16GB | 256GB | 14.1"" FHD IPS",1,,3,,,,,,4990,Laptopuri,"https://western.md/wp-content/uploads/2025/04/7410aaaaaaa.jpg, https://western.md/wp-content/uploads/2025/04/1-6.jpg, https://western.md/wp-content/uploads/2025/04/2-6.jpg, https://western.md/wp-content/uploads/2025/04/3-6.jpg, https://western.md/wp-content/uploads/2025/04/4-6.jpg, https://western.md/wp-content/uploads/2025/04/5-6.jpg, https://western.md/wp-content/uploads/2025/04/6-6.jpg, https://western.md/wp-content/uploads/2025/04/7-6.jpg, https://western.md/wp-content/uploads/2025/04/8-6.jpg, https://western.md/wp-content/uploads/2025/04/9-6.jpg, https://western.md/wp-content/uploads/2025/04/10-6.jpg, https://western.md/wp-content/uploads/2025/04/12-6.jpg, https://western.md/wp-content/uploads/2025/04/13-6.jpg, https://western.md/wp-content/uploads/2025/04/14-6.jpg, https://western.md/wp-content/uploads/2025/04/15-7.jpg, https://western.md/wp-content/uploads/2025/04/17-7.jpg, https://western.md/wp-content/uploads/2025/04/18-7.jpg, https://western.md/wp-content/uploads/2025/04/19-6.jpg, https://western.md/wp-content/uploads/2025/04/IMG_20260211_124338-scaled.jpg, https://western.md/wp-content/uploads/2025/04/c0f26b4b568c2097652c10b0a027d474.jpg",DELL
24645,simple,802,,"Asus ZenBook UX325E | i7 1165G7 | 8GB | 250GB | Intel Iris | 13.3"" OLED",1,"Garantie 12 luni.",,,,,,,6600,Laptopuri,"https://western.md/wp-content/uploads/2025/08/S200738094_1-1.webp, https://western.md/wp-content/uploads/2025/08/1-6.jpg, https://western.md/wp-content/uploads/2025/08/2-6.jpg, https://western.md/wp-content/uploads/2025/08/3-6.jpg, https://western.md/wp-content/uploads/2025/08/4-6.jpg, https://western.md/wp-content/uploads/2025/08/5-6.jpg, https://western.md/wp-content/uploads/2025/08/6-6.jpg, https://western.md/wp-content/uploads/2025/08/7-6.jpg, https://western.md/wp-content/uploads/2025/08/8-6.jpg, https://western.md/wp-content/uploads/2025/08/9-6.jpg, https://western.md/wp-content/uploads/2025/08/10-5.jpg, https://western.md/wp-content/uploads/2025/08/11-5.jpg, https://western.md/wp-content/uploads/2025/08/12-4.jpg, https://western.md/wp-content/uploads/2025/08/13-3.jpg, https://western.md/wp-content/uploads/2025/08/14-3.jpg, https://western.md/wp-content/uploads/2025/08/15-2.jpg, https://western.md/wp-content/uploads/2025/08/16-1.jpg, https://western.md/wp-content/uploads/2025/08/17.jpg",Asus
24909,simple,144,,"Panasonic Toughpad FZ-G1 | i5 6300U | 8GB | 256GB | 10.1"" IPS",1,,,,,,,5000,6500,Laptopuri,"https://western.md/wp-content/uploads/2025/08/MLTAB91004.jpg, https://western.md/wp-content/uploads/2025/08/1-12.jpg, https://western.md/wp-content/uploads/2025/08/2-12.jpg, https://western.md/wp-content/uploads/2025/08/3-12.jpg, https://western.md/wp-content/uploads/2025/08/4-12.jpg, https://western.md/wp-content/uploads/2025/08/5-12.jpg, https://western.md/wp-content/uploads/2025/08/6-12.jpg, https://western.md/wp-content/uploads/2025/08/7-12.jpg, https://western.md/wp-content/uploads/2025/08/8-12.jpg, https://western.md/wp-content/uploads/2025/08/10-11.jpg",Panasonic
25246,simple,814,,"Surface Laptop 3 | Ryzen 5 3580U | 8GB | 256GB | 15"" 2K Touch",1,,,,,,,,6200,Laptopuri,"https://western.md/wp-content/uploads/2025/08/71lbvTE1n3L.jpg, https://western.md/wp-content/uploads/2025/08/1-21.jpg, https://western.md/wp-content/uploads/2025/08/11-19.jpg, https://western.md/wp-content/uploads/2025/08/111-7.jpg, https://western.md/wp-content/uploads/2025/08/1111-7.jpg, https://western.md/wp-content/uploads/2025/08/11111-7.jpg, https://western.md/wp-content/uploads/2025/08/111111-7.jpg, https://western.md/wp-content/uploads/2025/08/1111111-7.jpg, https://western.md/wp-content/uploads/2025/08/11111111-7.jpg, https://western.md/wp-content/uploads/2025/08/111111111-7.jpg, https://western.md/wp-content/uploads/2025/08/1111111111-7.jpg, https://western.md/wp-content/uploads/2025/08/11111111111-7.jpg, https://western.md/wp-content/uploads/2025/08/111111111111-6.jpg, https://western.md/wp-content/uploads/2025/08/1111111111111-7.jpg",Microsoft
25324,simple,817,,"Macbook pro 13 2017 | Intel Core i5 7360U | 8GB | 256GB | 13.3"" Retina",1,,,,,,,,6300,Laptopuri,"https://western.md/wp-content/uploads/2025/08/macbook-13-2017-header-1.jpg, https://western.md/wp-content/uploads/2025/08/1-23.jpg, https://western.md/wp-content/uploads/2025/08/11-21.jpg, https://western.md/wp-content/uploads/2025/08/111-9.jpg, https://western.md/wp-content/uploads/2025/08/1111-9.jpg, https://western.md/wp-content/uploads/2025/08/11111-9.jpg, https://western.md/wp-content/uploads/2025/08/111111-9.jpg, https://western.md/wp-content/uploads/2025/08/1111111-9.jpg, https://western.md/wp-content/uploads/2025/08/11111111-9.jpg, https://western.md/wp-content/uploads/2025/08/111111111-9.jpg, https://western.md/wp-content/uploads/2025/08/1111111111-9.jpg, https://western.md/wp-content/uploads/2025/08/11111111111-9.jpg, https://western.md/wp-content/uploads/2025/08/111111111111-8.jpg, https://western.md/wp-content/uploads/2025/08/1111111111111-9.jpg, https://western.md/wp-content/uploads/2025/08/11111111111111-8.jpg, https://western.md/wp-content/uploads/2025/08/111111111111111-7.jpg",APPLE
26685,simple,854,,"Dell Latitude 7420 | Intel i5 1135G7 | 8GB | 256GB | 14"" FHD Touch",1,,,,,,,,6400,Laptopuri,"https://western.md/wp-content/uploads/2025/09/Dell7420i52-T-r.jpg, https://western.md/wp-content/uploads/2025/09/1-32.jpg, https://western.md/wp-content/uploads/2025/09/11-33.jpg, https://western.md/wp-content/uploads/2025/09/111-32.jpg, https://western.md/wp-content/uploads/2025/09/1111-28.jpg, https://western.md/wp-content/uploads/2025/09/11111-30.jpg, https://western.md/wp-content/uploads/2025/09/111111-30.jpg, https://western.md/wp-content/uploads/2025/09/1111111-29.jpg, https://western.md/wp-content/uploads/2025/09/11111111-29.jpg, https://western.md/wp-content/uploads/2025/09/111111111-27.jpg, https://western.md/wp-content/uploads/2025/09/1111111111-27.jpg, https://western.md/wp-content/uploads/2025/09/11111111111-24.jpg, https://western.md/wp-content/uploads/2025/09/111111111111-23.jpg, https://western.md/wp-content/uploads/2025/09/1111111111111-24.jpg, https://western.md/wp-content/uploads/2025/09/11111111111111-27.jpg, https://western.md/wp-content/uploads/2025/09/111111111111111-22.jpg, https://western.md/wp-content/uploads/2025/09/1111111111111111-18.jpg, https://western.md/wp-content/uploads/2025/09/11111111111111111-13.jpg, https://western.md/wp-content/uploads/2025/09/111111111111111111-10.jpg, https://western.md/wp-content/uploads/2025/09/1111111111111111111-10.jpg",DELL
27096,simple,862,,"Lenovo ThinkPad T15 | i5 10310U | 16GB | 256GB | 15.6"" IPS",1,,,,,,,,6500,Laptopuri,"https://western.md/wp-content/uploads/2025/10/1063595215__78646_cae925e7-89d9-44f9-85cc-fe6b6ae06707.webp, https://western.md/wp-content/uploads/2025/10/1-4.jpg, https://western.md/wp-content/uploads/2025/10/11-4.jpg, https://western.md/wp-content/uploads/2025/10/111-4.jpg, https://western.md/wp-content/uploads/2025/10/1111-4.jpg, https://western.md/wp-content/uploads/2025/10/11111-3.jpg, https://western.md/wp-content/uploads/2025/10/111111-4.jpg, https://western.md/wp-content/uploads/2025/10/1111111-4.jpg, https://western.md/wp-content/uploads/2025/10/11111111-4.jpg, https://western.md/wp-content/uploads/2025/10/111111111-4.jpg, https://western.md/wp-content/uploads/2025/10/1111111111-4.jpg, https://western.md/wp-content/uploads/2025/10/11111111111-4.jpg, https://western.md/wp-content/uploads/2025/10/111111111111-4.jpg, https://western.md/wp-content/uploads/2025/10/1111111111111-4.jpg, https://western.md/wp-content/uploads/2025/10/11111111111111-4.jpg, https://western.md/wp-content/uploads/2025/10/111111111111111-4.jpg",Lenovo
27176,simple,864,,"Dell Inspiron 5593 | intel i5 1035G1 | 16GB | 256GB | 15.6"" FHD",1,,,,,,,4800,6000,Laptopuri,"https://western.md/wp-content/uploads/2025/10/Dell-Inspiron-5593-Silver_4-800x800-1.jpg, https://western.md/wp-content/uploads/2025/10/1-6.jpg, https://western.md/wp-content/uploads/2025/10/11-6.jpg, https://western.md/wp-content/uploads/2025/10/111-6.jpg, https://western.md/wp-content/uploads/2025/10/1111-6.jpg, https://western.md/wp-content/uploads/2025/10/11111-5.jpg, https://western.md/wp-content/uploads/2025/10/111111-6.jpg, https://western.md/wp-content/uploads/2025/10/1111111-6.jpg, https://western.md/wp-content/uploads/2025/10/11111111-6.jpg, https://western.md/wp-content/uploads/2025/10/111111111-6.jpg, https://western.md/wp-content/uploads/2025/10/1111111111-6.jpg, https://western.md/wp-content/uploads/2025/10/11111111111-6.jpg, https://western.md/wp-content/uploads/2025/10/111111111111-6.jpg, https://western.md/wp-content/uploads/2025/10/1111111111111-6.jpg, https://western.md/wp-content/uploads/2025/10/11111111111111-6.jpg, https://western.md/wp-content/uploads/2025/10/111111111111111-6.jpg",DELL
28547,simple,900,,"ThinkPad X1 Yoga Gen 4 | Intel i7 8665U | 16GB | 256GB | 14"" 2K Touch",1,,,,,,,6800,8000,Laptopuri,"https://western.md/wp-content/uploads/2025/10/Lenovo-ThinkPad-X1-Yoga-Gen4-2in1-Metal-i7-8th-16-512-gray-smadina.jpg, https://western.md/wp-content/uploads/2025/10/1-39.jpg, https://western.md/wp-content/uploads/2025/10/11-39.jpg, https://western.md/wp-content/uploads/2025/10/111-38.jpg, https://western.md/wp-content/uploads/2025/10/1111-38.jpg, https://western.md/wp-content/uploads/2025/10/11111-37.jpg, https://western.md/wp-content/uploads/2025/10/111111-38.jpg, https://western.md/wp-content/uploads/2025/10/1111111-38.jpg, https://western.md/wp-content/uploads/2025/10/11111111-38.jpg, https://western.md/wp-content/uploads/2025/10/111111111-36.jpg, https://western.md/wp-content/uploads/2025/10/1111111111-37.jpg, https://western.md/wp-content/uploads/2025/10/11111111111-37.jpg, https://western.md/wp-content/uploads/2025/10/111111111111-37.jpg, https://western.md/wp-content/uploads/2025/10/1111111111111-36.jpg, https://western.md/wp-content/uploads/2025/10/11111111111111-35.jpg, https://western.md/wp-content/uploads/2025/10/11111111111111111-23.jpg, https://western.md/wp-content/uploads/2025/10/PXL_20260121_103046810-scaled.jpg, https://western.md/wp-content/uploads/2025/10/c0f26b4b568c2097652c10b0a027d474-2.jpg",Lenovo
28961,simple,911,,"Gateway 15 | Ryzen 7 3700U | 8GB | 256GB | 15.6"" IPS",1,,,,,,,,3990,Laptopuri,"https://western.md/wp-content/uploads/2025/10/3__43364.webp, https://western.md/wp-content/uploads/2025/10/1-49.jpg, https://western.md/wp-content/uploads/2025/10/11-49.jpg, https://western.md/wp-content/uploads/2025/10/111-48.jpg, https://western.md/wp-content/uploads/2025/10/1111-48.jpg, https://western.md/wp-content/uploads/2025/10/11111-47.jpg, https://western.md/wp-content/uploads/2025/10/111111-48.jpg, https://western.md/wp-content/uploads/2025/10/1111111-48.jpg, https://western.md/wp-content/uploads/2025/10/11111111-48.jpg, https://western.md/wp-content/uploads/2025/10/111111111-46.jpg, https://western.md/wp-content/uploads/2025/10/1111111111-47.jpg, https://western.md/wp-content/uploads/2025/10/11111111111-47.jpg, https://western.md/wp-content/uploads/2025/10/111111111111-47.jpg, https://western.md/wp-content/uploads/2025/10/3__43364.webp",ACER
